order_id;date_commande;client;produit;categorie;quantite;prix_unitaire;montant_total;region;mode_paiement
100000;2025-07-16;Hoareau SA;Souris sans fil;Informatique;26;773.02;20098.52;Auvergne-Rhône-Alpes;Virement
100001;17/06/2025;Pottier Germain SA;Caisson tiroirs;Mobilier;29;707.89;20528.81;Grand Est;Carte
100002;2025-02-26;Vallet Guilbert S.A.S.;Bureau assis-debout;Mobilier;8;580.19;4641.52;Occitanie;Carte
100003;2024-12-25;Roussel Gillet SARL;Chaise ergonomique;Mobilier;4;59.31;237.24;Auvergne-Rhône-Alpes;Chèque
100004;2025-10-09;Barre;Souris sans fil;Informatique;28;873.69;24463.32;Bretagne;Prélèvement
100005;2025-09-27;Techer;Café 1kg;Consommables;15;41.34;620.1;Bretagne;Chèque
100006;2024-11-18;Letellier;Point d'accès WiFi;Réseau;15;294.59;4418.85;Île-de-France;Carte
100007;2026-04-19;Rey Bodin S.A.S.;Café 1kg;Consommables;19;429.18;8154.42;Occitanie;Chèque
100008;2024-10-15;Duhamel Wagner SARL;Câble RJ45 5m;Réseau;7;630.84;4415.88;Bretagne;Prélèvement
100009;2026-07-09;Bertrand;Caisson tiroirs;Mobilier;33;260.92;8610.36;Bretagne;Virement
100010;2024-12-03;Laurent et Fils;Switch 8 ports;Réseau;32;708.66;22677.12;Occitanie;Chèque
100011;05/01/2025;Techer;Bloc-notes;Bureau;22;512.73;11280.06;Auvergne-Rhône-Alpes;Virement
100012;2026-01-09;Techer;Caisson tiroirs;Mobilier;26;509.58;13249.08;Occitanie;Chèque
100013;11/01/2025;Roussel Gillet SARL;Bureau assis-debout;Mobilier;4;274.95;1099.8;Auvergne-Rhône-Alpes;Carte
100014;2026-05-17;Regnier;Switch 8 ports;Réseau;11;768.36;8451.96;Grand Est;Virement
100015;2026-02-19;Meyer;Switch 8 ports;Réseau;36;596.4;21470.4;Occitanie;Prélèvement
100016;2025-08-02;Regnier;Câble RJ45 5m;Réseau;16;732.99;11727.84;Auvergne-Rhône-Alpes;Virement
100017;2025-12-16;Joubert Chauveau S.A.;Ordinateur portable;Informatique;31;416.77;12919.87;Grand Est;Chèque
100018;2024-10-28;Raynaud et Fils;Switch 8 ports;Réseau;20;402.65;8053.0;Auvergne-Rhône-Alpes;Carte
100019;04/07/2025;Barre;Gobelets x100;Consommables;24;80.71;1937.04;Auvergne-Rhône-Alpes;Prélèvement
100020;2025-07-02;Raynaud et Fils;Bloc-notes;Bureau;20;240.75;4815.0;Auvergne-Rhône-Alpes;Prélèvement
100021;15/12/2025;Hoareau SA;Agrafeuse;Bureau;31;246.47;7640.57;Occitanie;Prélèvement
100022;2025-09-07;Pruvost;"Écran 27""";Informatique;28;276.75;7749.0;Occitanie;Virement
100023;2025-10-24;Pottier Germain SA;Caisson tiroirs;Mobilier;1;648.08;648.08;Auvergne-Rhône-Alpes;Chèque
